"","rank","port","economy","lon","lat","port_label","year","volume"
"159",9,"Jebel Ali (Dubai)","United Arab Emirates",55.0272904,24.9857145,"Dubai","2011[4]","13,000"
"160",10,"Tianjin","China",117.200983,39.084158,"Tianjin","2011[4]","11,500"
"161",11,"Rotterdam","Netherlands",4.4777325,51.9244201,"Rotterdam","2011[4]","11,877"
"162",12,"Port Klang","Malaysia",101.39283,2.999852,"Port Klang","2011[4]","9,604"
"163",13,"Kaohsiung","Taiwan",120.3014353,22.6272784,"Kaohsiung","2011[4]","9,636"
"164",14,"Dalian","China",121.614682,38.914003,"Dalian","2011[4]","6,400"
"165",15,"Hamburg","Germany",9.9936818,53.5510846,"Hamburg","2011[4]","9,022"
"166",16,"Antwerp","Belgium",4.4024643,51.2194475,"Antwerp","2011[4]","8,664"
"167",17,"Xiamen","China",118.089425,24.479834,"Xiamen","2011[4]","6,461"
"168",18,"Los Angeles","United States",-118.2436849,34.0522342,"Los Angeles","2011[4]","7,941"
"169",19,"Tanjung Pelepas","Malaysia",103.551035,1.362374,"Tanjung Pelepas","2011[4]","7,500"
"170",20,"Long Beach","United States",-118.1937395,33.7700504,"Long Beach","2011[4]","6,061"
"171",21,"Laem Chabang","Thailand",100.9158073,13.1040552,"Laem Chabang","2011[4]","5,731"
"172",22,"Ho Chi Minh City (Saigon)","Vietnam",106.6296638,10.8230989,"Saigon","2011[4]","4,674"
"173",23,"Bremen/Bremerhaven","Germany",8.5809424,53.5395845,"Bremen","2011[4]","5,915"
"174",24,"New York and New Jersey","United States",-74.0059413,40.7127837,"New York","2011[4]","5,503"
"175",25,"Yingkou","China",122.108231,40.266062,"Yingkou","2011[4]","4,033"
"176",26,"Tanjung Priok (Jakarta)","Indonesia",106.8714848,-6.1320555,"Jakarta","2011[4]","5,618"
"177",27,"Lianyungang","China",119.221611,34.596653,"Lianyungang","2011[4]","4,850"
"178",28,"Tokyo","Japan",139.6917064,35.6894875,"Tokyo","2011[4]","4,640"
"179",29,"Mumbai","India",72.8776559,19.0759837,"Mumbai","2011[4]","4,217"
"180",30,"Algeciras","Spain",-5.456233,36.1407591,"Algeciras","2011[4]","3,603"
"181",31,"Valencia","Spain",-0.3762881,39.46991,"Valencia","2011[4]","4,327"
"182",32,"Khor Fakkan","United Arab Emirates",56.3432629,25.3365669,"Khor Fakkan","2011[4]","3,230"
"183",33,"Jeddah","Saudi Arabia",39.2375507,21.2854067,"Jeddah","2011[4]","4,010"
"184",34,"Colombo","Sri Lanka",79.861243,6.9270786,"Colombo","2011[4]","4,263"
"185",35,"Santos","Brazil",-46.3288865,-23.9678823,"Santos","2011[4]","2,985"
"186",36,"Felixstowe","United Kingdom",1.351255,51.961726,"Felixstowe","2011[4]","3,519"
"187",37,"Manila","Philippines",120.9842195,14.5995124,"Manila","2011[4]","3,250"
"188",38,"Seattle/Tacoma","United States",-122.3088165,47.4502499,"Seattle/Tacoma","2011[4]","3,590"
"189",39,"Ambarli (Istanbul)","Turkey",28.7110539,40.9767748,"Istanbul","2011[4]","2,686"
"190",40,"Tanger-Med (Tangiers)","Morocco",-5.7155548,35.7239191,"Tangiers","2011[4]","2,070"
"191",41,"Savannah","United States",-81.0998342,32.0835407,"Savannah","2011[4]","2,945"
"192",42,"Balboa","Panama",-117.924131,33.607795,"Balboa","2011[4]","3,232"
"193",43,"Gioia Tauro","Italy",15.8988669,38.4262258,"Gioia Tauro","2011[4]","2,305"
"194",44,"Port Said","Egypt",32.3018661,31.2652893,"Port Said","2011[4]","4,272"
"195",45,"Salalah","Oman",54.1065864,17.0506675,"Salalah","2011[4]","3,201"
"196",46,"Keelung","Taiwan",121.7391833,25.1276033,"Keelung","2011[4]","2,403"
"197",47,"Vancouver","Canada",-123.1207375,49.2827291,"Vancouver","2011[4]","2,551"
"198",48,"Malta Freeport","Malta",14.537637,35.816287,"Malta Freeport","2011[4]","2,360"
"199",49,"Yokohama","Japan",139.6380256,35.4437078,"Yokohama","2011[4]","3,083"
"200",50,"Nagoya","Japan",136.906398,35.1814464,"Nagoya","2011[4]","2,623"
"201",1,"Shanghai","China",121.473701,31.230416,"Shanghai","2010[5]","29,069"
"202",2,"Singapore","Singapore",103.819836,1.352083,"Singapore","2010[5]","28,431"
"203",3,"Shenzhen","China",114.057865,22.543096,"Shenzhen","2010[5]","22,510"
"204",4,"Hong Kong","China",114.109497,22.396428,"Hong Kong","2010[5]","23,532"
"205",5,"Ningbo-Zhoushan","China",121.9880433,29.9016199,"Ningbo/Z-shan","2010[5]","13,144"
"206",6,"Busan","South Korea",129.0756416,35.1795543,"Busan","2010[5]","14,157"
"207",7,"Qingdao","China",120.382609,36.067108,"Qingdao","2010[5]","12,012"
"208",8,"Guangzhou","China",113.264385,23.12911,"Guangzhou","2010[5]","12,550"
"209",9,"Jebel Ali (Dubai)","United Arab Emirates",55.0272904,24.9857145,"Dubai","2010[5]","11,600"
"210",10,"Tianjin","China",117.200983,39.084158,"Tianjin","2010[5]","10,080"
"211",11,"Rotterdam","Netherlands",4.4777325,51.9244201,"Rotterdam","2010[5]","11,146"
"212",12,"Port Klang","Malaysia",101.39283,2.999852,"Port Klang","2010[5]","8,870"
"213",13,"Kaohsiung","Taiwan",120.3014353,22.6272784,"Kaohsiung","2010[5]","8,872"
"214",14,"Dalian","China",121.614682,38.914003,"Dalian","2010[5]","5,242"
"215",15,"Hamburg","Germany",9.9936818,53.5510846,"Hamburg","2010[5]","7,900"
"216",16,"Antwerp","Belgium",4.4024643,51.2194475,"Antwerp","2010[5]","8,468"
"217",17,"Xiamen","China",118.089425,24.479834,"Xiamen","2010[5]","5,820"
"218",18,"Los Angeles","United States",-118.2436849,34.0522342,"Los Angeles","2010[5]","7,832"
"219",19,"Tanjung Pelepas","Malaysia",103.551035,1.362374,"Tanjung Pelepas","2010[5]","6,530"
"220",20,"Long Beach","United States",-118.1937395,33.7700504,"Long Beach","2010[5]","6,263"
"221",21,"Laem Chabang","Thailand",100.9158073,13.1040552,"Laem Chabang","2010[5]","5,068"
"222",22,"Ho Chi Minh City (Saigon)","Vietnam",106.6296638,10.8230989,"Saigon","2010[5]","4,100"
"223",23,"Bremen/Bremerhaven","Germany",8.5809424,53.5395845,"Bremen","2010[5]","4,871"
"224",24,"New York and New Jersey","United States",-74.0059413,40.7127837,"New York","2010[5]","5,292"
"225",25,"Yingkou","China",122.108231,40.266062,"Yingkou","2010[5]","3,338"
"226",26,"Tanjung Priok (Jakarta)","Indonesia",106.8714848,-6.1320555,"Jakarta","2010[5]","4,715"
"227",27,"Lianyungang","China",119.221611,34.596653,"Lianyungang","2010[5]","3,870"
"228",28,"Tokyo","Japan",139.6917064,35.6894875,"Tokyo","2010[5]","4,286"
"229",29,"Mumbai","India",72.8776559,19.0759837,"Mumbai","2010[5]","3,857"
"230",30,"Algeciras","Spain",-5.456233,36.1407591,"Algeciras","2010[5]","2,810"
"231",31,"Valencia","Spain",-0.3762881,39.46991,"Valencia","2010[5]","4,207"
"232",32,"Khor Fakkan","United Arab Emirates",56.3432629,25.3365669,"Khor Fakkan","2010[5]","3,023"
"233",33,"Jeddah","Saudi Arabia",39.2375507,21.2854067,"Jeddah","2010[5]","3,830"
"234",34,"Colombo","Sri Lanka",79.861243,6.9270786,"Colombo","2010[5]","4,137"
"235",35,"Santos","Brazil",-46.3288865,-23.9678823,"Santos","2010[5]","2,716"
"236",36,"Felixstowe","United Kingdom",1.351255,51.961726,"Felixstowe","2010[5]","3,400"
"237",37,"Manila","Philippines",120.9842195,14.5995124,"Manila","2010[5]","3,257"
"238",38,"Seattle/Tacoma","United States",-122.3088165,47.4502499,"Seattle/Tacoma","2010[5]",""
"239",39,"Ambarli (Istanbul)","Turkey",28.7110539,40.9767748,"Istanbul","2010[5]","2,540"
"240",40,"Tanger-Med (Tangiers)","Morocco",-5.7155548,35.7239191,"Tangiers","2010[5]","2,058"
"241",41,"Savannah","United States",-81.0998342,32.0835407,"Savannah","2010[5]","2,825"
"242",42,"Balboa","Panama",-117.924131,33.607795,"Balboa","2010[5]","2,759"
"243",43,"Gioia Tauro","Italy",15.8988669,38.4262258,"Gioia Tauro","2010[5]","2,851"
"244",44,"Port Said","Egypt",32.3018661,31.2652893,"Port Said","2010[5]","3,646"
"245",45,"Salalah","Oman",54.1065864,17.0506675,"Salalah","2010[5]","3,482"
"246",46,"Keelung","Taiwan",121.7391833,25.1276033,"Keelung","2010[5]","2,199"
"247",47,"Vancouver","Canada",-123.1207375,49.2827291,"Vancouver","2010[5]","2,514"
"248",48,"Malta Freeport","Malta",14.537637,35.816287,"Malta Freeport","2010[5]","2,371"
"249",49,"Yokohama","Japan",139.6380256,35.4437078,"Yokohama","2010[5]","3,280"
"250",50,"Nagoya","Japan",136.906398,35.1814464,"Nagoya","2010[5]","2,549"
"251",1,"Shanghai","China",121.473701,31.230416,"Shanghai","2009[6]","25,002"
"252",2,"Singapore","Singapore",103.819836,1.352083,"Singapore","2009[6]","25,866"
"253",3,"Shenzhen","China",114.057865,22.543096,"Shenzhen","2009[6]","18,250"
"254",4,"Hong Kong","China",114.109497,22.396428,"Hong Kong","2009[6]","20,983"
"255",5,"Ningbo-Zhoushan","China",121.9880433,29.9016199,"Ningbo/Z-shan","2009[6]","10,502"
"256",6,"Busan","South Korea",129.0756416,35.1795543,"Busan","2009[6]","11,954"
"257",7,"Qingdao","China",120.382609,36.067108,"Qingdao","2009[6]","10,260"
"258",8,"Guangzhou","China",113.264385,23.12911,"Guangzhou","2009[6]","11,190"
"259",9,"Jebel Ali (Dubai)","United Arab Emirates",55.0272904,24.9857145,"Dubai","2009[6]","11,124"
"260",10,"Tianjin","China",117.200983,39.084158,"Tianjin","2009[6]","8,700"
"261",11,"Rotterdam","Netherlands",4.4777325,51.9244201,"Rotterdam","2009[6]","9,743"
"262",12,"Port Klang","Malaysia",101.39283,2.999852,"Port Klang","2009[6]","7,309"
"263",13,"Kaohsiung","Taiwan",120.3014353,22.6272784,"Kaohsiung","2009[6]","8,581"
"264",14,"Dalian","China",121.614682,38.914003,"Dalian","2009[6]","4,552"
"265",15,"Hamburg","Germany",9.9936818,53.5510846,"Hamburg","2009[6]","7,007"
"266",16,"Antwerp","Belgium",4.4024643,51.2194475,"Antwerp","2009[6]","7,309"
"267",17,"Xiamen","China",118.089425,24.479834,"Xiamen","2009[6]","4,680"
"268",18,"Los Angeles","United States",-118.2436849,34.0522342,"Los Angeles","2009[6]","6,748"
"269",19,"Tanjung Pelepas","Malaysia",103.551035,1.362374,"Tanjung Pelepas","2009[6]","6,000"
"270",20,"Long Beach","United States",-118.1937395,33.7700504,"Long Beach","2009[6]","5,067"
"271",21,"Laem Chabang","Thailand",100.9158073,13.1040552,"Laem Chabang","2009[6]","4,538"
"272",22,"Ho Chi Minh City (Saigon)","Vietnam",106.6296638,10.8230989,"Saigon","2009[6]","3,563"
"273",23,"Bremen/Bremerhaven","Germany",8.5809424,53.5395845,"Bremen","2009[6]","4,578"
"274",24,"New York and New Jersey","United States",-74.0059413,40.7127837,"New York","2009[6]","4,561"
"275",25,"Yingkou","China",122.108231,40.266062,"Yingkou","2009[6]","2,537"
"276",26,"Tanjung Priok (Jakarta)","Indonesia",106.8714848,-6.1320555,"Jakarta","2009[6]","3,800"
"277",27,"Lianyungang","China",119.221611,34.596653,"Lianyungang","2009[6]","3,021"
"278",28,"Tokyo","Japan",139.6917064,35.6894875,"Tokyo","2009[6]","3,810"
"279",29,"Mumbai","India",72.8776559,19.0759837,"Mumbai","2009[6]","4,061"
"280",30,"Algeciras","Spain",-5.456233,36.1407591,"Algeciras","2009[6]","3,042"
"281",31,"Valencia","Spain",-0.3762881,39.46991,"Valencia","2009[6]","3,653"
"282",32,"Khor Fakkan","United Arab Emirates",56.3432629,25.3365669,"Khor Fakkan","2009[6]","2,750"
"283",33,"Jeddah","Saudi Arabia",39.2375507,21.2854067,"Jeddah","2009[6]","3,091"
"284",34,"Colombo","Sri Lanka",79.861243,6.9270786,"Colombo","2009[6]","3,464"
"285",35,"Santos","Brazil",-46.3288865,-23.9678823,"Santos","2009[6]","2,252"
"286",36,"Felixstowe","United Kingdom",1.351255,51.961726,"Felixstowe","2009[6]","3,100"
"287",37,"Manila","Philippines",120.9842195,14.5995124,"Manila","2009[6]","2,815"
"288",38,"Seattle/Tacoma","United States",-122.3088165,47.4502499,"Seattle/Tacoma","2009[6]",""
"289",39,"Ambarli (Istanbul)","Turkey",28.7110539,40.9767748,"Istanbul","2009[6]","1,836"
"290",40,"Tanger-Med (Tangiers)","Morocco",-5.7155548,35.7239191,"Tangiers","2009[6]","1,222"
